,F,I,H,H-tilde,H-tilde_std,N
ACAP3,1.9546959538180824e-05,0.07678106437785548,6.346233512411924,6.42301457678978,0.009900990099075186,101
PUSL1,9.87024689551705e-06,-0.05499647523957574,5.515562596873456,5.46056612163388,0.09421216151405903,51
INTS11,3.9287453329214924e-05,-0.09805263895235594,7.258787518106454,7.160734879154098,0.046376653751994346,203
CPTP,9.483178389810499e-06,0.11744668371762135,5.354406017540444,5.471852701258065,0.06122448979596292,49
TAS1R3,5.806027585598265e-07,0.6666666666666666,0.9182958340544894,1.584962500721156,0.0,3
DVL1,9.483178389810499e-06,-0.12244897959183643,5.614709844115208,5.492260864523372,0.040816326530569415,49
MXRA8,7.741370114131019e-07,0.0,2.0,2.0,0.0,4
AURKAIP1,0.00010450849654076877,0.07410499028269335,8.08021820189847,8.154323192181163,0.03776118860611998,540
CCNL2,4.6641754937639396e-05,-0.06456310265303777,7.497789336158146,7.433226233505108,0.036120144261946416,241
MRPL20,9.928307171373032e-05,0.12981674189565773,7.951754494718218,8.081571236613875,0.029447367844334965,513
AL391244.3,9.676712642663775e-07,0.0,2.321928094887362,2.321928094887362,0.0,5
ANKRD65,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
ATAD3C,2.322411034239306e-06,0.0,3.584962500721156,3.584962500721156,0.0,12
ATAD3B,1.238619218260963e-05,-0.09375,5.9375,5.84375,0.03125,64
ATAD3A,8.709041378397396e-06,-0.02222222222222303,5.402964207440786,5.380741985218563,0.022222222222374948,45
TMEM240,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
SSU72,0.00011941063401047098,-0.008341653937211646,8.16621169398369,8.157870040046479,0.013458498905506053,617
AL645728.1,1.8385754021061173e-05,-0.010526315789473273,6.330330476729227,6.3198041609397535,0.09473684210528084,95
FNDC10,5.4189590798917135e-06,0.0,4.7359263506290326,4.7359263506290326,0.0,28
AL691432.2,6.580164597011367e-06,0.08823529411764763,4.910992253015045,4.999227547132692,0.029411764705908058,34
MIB2,3.0191343445110977e-05,0.02729505302767965,6.8270062252447685,6.854301278272448,0.08325053990712904,156
MMP23B,4.838356321331887e-06,0.1200000000000001,4.483856189774724,4.603856189774724,0.039999999999997794,25
CDK11B,3.0578411950817525e-05,0.059269164408862984,6.942265460336826,7.001534624745689,0.03952602846726764,158
SLC35E2B,1.8385754021061173e-05,-0.06971111840966593,6.393488371466069,6.323777253056403,0.00655322367288129,95
CDK11A,3.7932713559241996e-05,-0.09594296039397054,7.238309652733487,7.142366692339516,0.07752642736110463,196
SLC35E2A,1.238619218260963e-05,0.03125,5.84375,5.875,0.09375,64
NADK,6.657578298152677e-05,0.3953158250626094,7.392317497981402,7.787633323044012,0.052733539153327756,344
GNB1,0.00014263474435286403,0.21689876052711554,8.143611196490335,8.36050995701745,0.07130756212669406,737
AL109917.1,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
CALML6,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
TMEM52,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
CFAP74,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
GABRD,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
PRKCZ,4.644822068478612e-06,0.0,4.584962500721156,4.584962500721156,0.0,24
AL590822.2,2.322411034239306e-06,0.08333333333333348,3.4182958340544896,3.501629167387823,0.08333333333333452,12
PRKCZ-AS1,3.8706850570655096e-07,0.0,1.0,1.0,0.0,2
FAAP20,6.734991999293987e-05,0.12413297821638913,7.660776605228818,7.784909583445208,0.04080981033618015,348
SKI,1.6643945745381694e-05,0.03927260175676395,6.12963946395411,6.168912065710874,0.016016787803578517,86
MORN1,1.5482740228262038e-06,0.0,3.0,3.0,0.0,8
RER1,8.302619447405519e-05,0.15138250830992384,7.832212283873619,7.983594792183543,0.018206088852784404,429
PEX10,7.160767355571193e-06,0.24324324324324298,4.8851290413046256,5.1283722845478685,0.027027027027047096,37
PLCH2,4.644822068478612e-06,-8.881784197001252e-16,4.501629167387823,4.501629167387822,0.08333333333334518,24
AL139246.1,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
PANK4,6.773698849864642e-06,0.1714285714285717,4.900711588373538,5.072140159802109,0.05714285714287303,35
HES5,1.9353425285327548e-07,0.0,0.0,0.0,0.0,1
AL139246.5,3.2707288732203555e-05,0.16820932832033542,6.904581785507467,7.072791113827803,0.04986613305397971,169
TNFRSF14-AS1,5.806027585598265e-06,0.22516291673878186,4.681727678869737,4.906890595608519,0.0,30
TNFRSF14,9.07675645881862e-05,0.0721201924219006,8.017151482435873,8.089271674857773,0.0445728906340584,469
AL139246.3,1.161205517119653e-06,0.0,2.584962500721156,2.584962500721156,0.0,6
FAM213B,5.612493332744989e-06,-0.068965517241379,4.857980995127572,4.789015477886193,0.0,29
MMEL1,2.12887678138603e-06,0.0,3.4594316186372973,3.4594316186372973,0.0,11
