,F,I,H,H-tilde,H-tilde_std,N
MS4A1,0.000121927,2.375855285,5.878469881,8.254325166,0.04285354,630
CCL3,0.000147667,2.37472691,5.994330875,8.369057785,0.040832462,763
CLIC3,3.52E-05,2.35262166,4.780748802,7.133370463,0.051902429,182
ITM2C,3.93E-05,2.347348216,4.900248119,7.247596336,0.064300842,203
IGHA2,5.61E-06,2.327603519,2.466317325,4.793920844,0.072170417,29
MZB1,2.26E-05,2.326379372,4.288938565,6.615317937,0.067495642,117
IGHD,9.54E-05,2.31044584,5.766499286,8.076945126,0.050902199,493
HPGDS,3.10E-06,2.306380725,1.64939747,3.955778195,0.068621019,16
TRDC,4.28E-05,2.303555568,5.027185091,7.33074066,0.060898113,221
PIMREG,9.68E-07,2.293928095,0,2.293928095,0.102058807,5
KLRD1,6.56E-05,2.271745011,5.487556475,7.759301486,0.052946283,339
CD79A,0.000144764,2.246059544,6.11871307,8.364772614,0.041052244,748
CLEC4C,5.03E-06,2.244837978,2.410986355,4.655824334,0.054588292,26
S100B,1.76E-05,2.243687452,4.074934516,6.318621968,0.057614374,91
CNRIP1,3.10E-06,2.218028972,1.748999223,3.967028195,0.062117006,16
LMNA,7.49E-05,2.198493815,5.6791165,7.877610315,0.051136438,387
CD34,3.48E-06,2.161227311,1.96938942,4.130616731,0.066793032,18
MYOM2,1.05E-05,2.154049126,3.475268339,5.629317465,0.063173,54
CCL5,0.000203404,2.153939589,6.395467253,8.549406841,0.036997516,1051
GZMA,0.000119798,2.151066279,6.094081628,8.245147908,0.044294564,619
NPR3,1.94E-06,2.145148445,1.156779649,3.301928095,0.06,10
CD1C,1.95E-05,2.135019909,4.295956667,6.430976576,0.062929248,101
GZMH,2.36E-05,2.110083722,4.556042336,6.666126058,0.059743411,122
TCF4,6.81E-05,2.095241332,5.696662888,7.79190422,0.051415331,352
KLRB1,0.000159085,2.080385004,6.334781514,8.415166518,0.040384663,822
XCL2,1.61E-05,2.078700162,4.117570176,6.196270338,0.066279291,83
CXCL8,0.000321654,2.072734845,6.654510471,8.727245316,0.028990567,1662
CAVIN2,7.93E-06,2.058356111,3.201929068,5.260285178,0.075825248,41
CCNB2,2.52E-06,2.055339652,1.614330835,3.669670487,0.075368915,13
PTCRA,5.42E-06,2.051435558,2.69180873,4.743244288,0.065659902,28
MRC1,2.90E-06,2.036914039,1.829473298,3.866387337,0.07354436,15
DERL3,1.16E-05,2.03505848,3.736145899,5.771204379,0.065994206,60
LINC00996,7.16E-06,2.024668728,3.098287584,5.122956312,0.061138405,37
SHD,3.68E-06,2.018909524,2.183754832,4.202664356,0.060018464,19
GZMK,6.25E-05,2.015756874,5.70580237,7.721559245,0.05327643,323
CYTL1,3.87E-06,2.015455738,2.257717469,4.273173207,0.065980366,20
HES1,4.76E-05,2.009770642,5.438382969,7.448153611,0.051844103,246
SMPD3,7.74E-06,1.989263658,3.244588497,5.233852154,0.061627687,40
HLA-DQA1,0.000211146,1.977102587,6.589326086,8.566428672,0.030750212,1091
PPP1R14A,1.72E-05,1.964233134,4.314703332,6.278936467,0.055477194,89
PRF1,5.86E-05,1.945385078,5.70027401,7.645659088,0.055018827,303
XCL1,1.49E-05,1.932510362,4.154211339,6.086721701,0.062816677,77
CXCL5,1.94E-06,1.931148445,1.356779649,3.287928095,0.085111691,10
THBS1,1.01E-05,1.93052901,3.649126439,5.579655449,0.065037032,52
KLRC1,1.99E-05,1.91997242,4.544340732,6.464313152,0.077545975,103
MYBPH,1.16E-06,1.918273412,0.650022422,2.568295834,0.072648316,6
CTSW,0.000140119,1.889783176,6.457834124,8.3476173,0.04139886,724
CKB,1.12E-05,1.857776933,3.870444144,5.728221077,0.060414849,58
SCAMP5,3.29E-06,1.830087321,2.225610815,4.055698135,0.059652976,17
CXCL2,2.46E-05,1.81665781,4.896231235,6.712889046,0.056864837,127
IL2RB,4.01E-05,1.809151837,5.458691508,7.267843345,0.056452314,207
CST7,6.79E-05,1.809132809,5.977537387,7.786670196,0.046337023,351
CH25H,1.74E-06,1.793836442,1.351644115,3.145480557,0.069531057,9
ENHO,6.00E-06,1.78948442,3.106318487,4.895802907,0.059113614,31
LAMP5,4.26E-06,1.771299913,2.645061302,4.416361215,0.072134462,22
CD79B,0.000105089,1.753526611,6.38828563,8.141812241,0.049945402,543
MKI67,4.45E-06,1.748007965,2.731419306,4.479427271,0.068217317,23
KLRF1,2.38E-05,1.747223323,4.916257267,6.66348059,0.058018635,123
BIRC5,1.94E-06,1.7369775,1.570950594,3.307928095,0.051029403,10
FAM129C,2.52E-05,1.732788834,5.020586346,6.753375179,0.063742533,130
RHEX,6.58E-06,1.731526356,3.275414592,5.006940948,0.065938664,34
TUBB1,6.19E-06,1.727097762,3.202819531,4.929917293,0.070080839,32
TCL1B,4.64E-06,1.723953646,2.803508855,4.527462501,0.063130157,24
DEPTOR,2.90E-06,1.72113194,2.149255397,3.870387337,0.064162287,15
CD8B,2.61E-05,1.718069403,5.058225325,6.776294728,0.065937883,135
RGS1,3.99E-05,1.714108524,5.549824056,7.26393258,0.059724225,206
PTTG1,1.08E-05,1.70755375,3.971748002,5.679301752,0.062402486,56
S100A9,0.00925713,1.706991195,7.340507771,9.047498966,0.004836561,47832
MS4A7,0.000172633,1.705604526,6.759601889,8.465206415,0.038564432,892
S100A8,0.006209353,1.703958774,7.33879645,9.042755224,0.005196246,32084
CD160,9.87E-06,1.701286807,3.862547645,5.563834452,0.061676207,51
ITGA2B,3.48E-06,1.695523082,2.441068586,4.136591668,0.055555556,18
AC084033.3,2.32E-05,1.69508725,4.94605388,6.641141131,0.057413219,120
HLA-DPB1,0.000733301,1.695061394,7.22139033,8.916451724,0.016890586,3789
S100A12,0.000788652,1.685075796,7.238824693,8.923900489,0.015502728,4075
CCDC50,4.82E-05,1.684545345,5.775770863,7.460316208,0.055736174,249
HES4,3.68E-05,1.6827502,5.490398105,7.173148305,0.061252473,190
TNFRSF13B,6.00E-06,1.682700817,3.199152054,4.881852871,0.062208741,31
SSPN,6.77E-06,1.675522153,3.374256675,5.049778828,0.063733683,35
HLA-DPA1,0.00099167,1.66094462,7.291947035,8.952891655,0.015475056,5124
IL1B,0.000575184,1.656873577,7.219904804,8.876778381,0.01986617,2972
BANK1,5.71E-05,1.655698784,5.969040371,7.624739155,0.052624265,295
CYP46A1,1.35E-06,1.652805782,1.148834854,2.801640636,0.04,7
SOX4,0.0001347,1.652125557,6.669281207,8.321406765,0.043001688,696
ZNF521,1.35E-06,1.638520068,1.148834854,2.787354922,0.072899148,7
HLA-DQB1,0.000259917,1.634145381,7.021817169,8.65596255,0.028590044,1343
EGR4,3.29E-06,1.633215442,2.424835635,4.058051077,0.058528673,17
PF4,6.39E-06,1.631544895,3.322305591,4.953850487,0.067897545,33
CRYM,1.74E-06,1.626098611,1.530493057,3.156591668,0.052774854,9
STMN1,3.46E-05,1.613869556,5.497356973,7.11122653,0.055980035,179
MYCN,2.13E-06,1.612727273,1.823067982,3.435795255,0.066332496,11
LINC01781,8.32E-06,1.608752973,3.725813232,5.334566205,0.068931911,43
SELP,9.68E-07,1.6,0.721928095,2.321928095,1.33E-07,5
TRBC1,0.000155408,1.594740982,6.805092378,8.39983336,0.043868201,803
IL3RA,1.49E-05,1.590944327,4.495909783,6.08685411,0.06284733,77
HIST1H3B,5.81E-07,1.584962501,0,1.584962501,5.96E-08,3
DRD4,1.55E-06,1.581860938,1.405639062,2.9875,0.054486237,8
SPIB,3.19E-05,1.581733382,5.442533744,7.024267126,0.058340409,165
OLFM1,1.66E-05,1.580802335,4.643565583,6.224367917,0.067710968,86
FAM81B,5.81E-07,1.578295834,0,1.578295834,0.066332496,3
SVOPL,5.81E-07,1.578295834,0,1.578295834,0.066332496,3
KRT17,5.81E-07,1.578295834,0,1.578295834,0.066332496,3
APOBEC3A,6.31E-05,1.577021509,6.14218904,7.719210548,0.050783356,326
PEAR1,5.81E-07,1.571629167,0,1.571629167,0.093333333,3
HMMR,5.81E-07,1.571629167,0,1.571629167,0.093333333,3
LRRC26,1.16E-06,1.571629167,1,2.571629167,0.065319726,6
TPM2,8.52E-06,1.568940597,3.787866277,5.356806874,0.060320209,44
PBX1,2.52E-06,1.5688375,2.10390991,3.67274741,0.066635101,13
AL136987.1,5.81E-06,1.568050236,3.282588731,4.850638966,0.053835798,30
PTGS2,6.66E-05,1.567827421,6.205930301,7.773757722,0.049430568,344
SCT,2.52E-06,1.564222116,2.10390991,3.668132026,0.073121444,13
AL096865.1,3.29E-06,1.561142087,2.492203107,4.053345194,0.055916398,17
IGHG3,8.13E-06,1.549888237,3.750991304,5.300879542,0.066033871,42
GNG11,5.42E-06,1.548451226,3.192380602,4.740831828,0.064275909,28
AC124283.1,2.52E-06,1.538820193,2.141619525,3.680439718,0.05173899,13
TRGC1,1.55E-05,1.526788185,4.614588327,6.141376512,0.062648732,80
RHOC,7.86E-05,1.523192943,6.398631944,7.921824887,0.049207732,406
FCRL5,2.34E-05,1.501570418,5.154077651,6.655648069,0.062502464,121
AL139020.1,7.16E-06,1.49370049,3.634732757,5.128433247,0.071856814,37
HLA-DRB1,0.001010829,1.49270722,7.463393321,8.956100541,0.014449803,5223
LINC02446,4.64E-06,1.491846572,3.038320189,4.530166761,0.070008531,24
LINC00926,4.57E-05,1.486535039,5.906836375,7.393371414,0.06571307,236
CDK6,4.39E-05,1.484260545,5.88782746,7.372088005,0.049971437,227
TPX2,1.55E-06,1.4825,1.5,2.9825,0.063786754,8
HLA-DRA,0.002034045,1.47954936,7.527049535,9.006598896,0.009839426,10510
EMID1,2.52E-06,1.473049267,2.192005835,3.665055103,0.068301455,13
ID1,0.000113992,1.472171901,6.735297215,8.207469116,0.041593085,589
CD14,0.000349136,1.466016449,7.285941139,8.751957589,0.026176205,1804
KCNK17,1.94E-06,1.46548875,1.846439345,3.311928095,0.043588989,10
SMIM25,8.42E-05,1.459370346,6.512174269,7.971544615,0.055191416,435
VPREB3,2.30E-05,1.459058841,5.183155238,6.642214079,0.059309114,119
HOPX,6.15E-05,1.451555994,6.240231457,7.691787451,0.058995935,318
COCH,3.68E-06,1.446651156,2.752855305,4.199506461,0.065601838,19
SMIM24,1.94E-06,1.44548875,1.846439345,3.291928095,0.076811457,10
LYZ,0.005534886,1.443149517,7.597179157,9.040328674,0.005507463,28599
CD8A,3.48E-05,1.430782607,5.691399489,7.122182096,0.065239601,180
HLA-DQA2,0.000159859,1.429293686,6.989387525,8.418681211,0.044618991,826
MPP6,6.39E-06,1.426108951,3.536077831,4.962186782,0.071674725,33
KIR2DL4,1.35E-06,1.42,1.378783493,2.798783493,0.048739206,7
LGALS2,0.000219855,1.417248487,7.16778124,8.585029727,0.03433478,1136
PALD1,1.35E-06,1.408571429,1.378783493,2.787354922,0.072899148,7
VCAN,0.000775105,1.403494258,7.517470438,8.920964696,0.017420896,4005
TCF7L2,4.86E-05,1.397029002,6.085281404,7.482310406,0.058353221,251
LAIR2,4.06E-06,1.395415492,2.944394949,4.339810441,0.068223897,21
IL32,0.00031759,1.393351,7.332556313,8.725907313,0.028332089,1641
IFI30,0.000170504,1.391241389,7.067508513,8.458749902,0.039429045,881
IL1R2,2.52E-06,1.388040614,2.28778372,3.675824334,0.056400932,13
CDT1,2.13E-06,1.387462873,2.040373394,3.427836266,0.076347365,11
CDC20,2.13E-06,1.386343182,2.049452073,3.435795255,0.061146079,11
FCN1,0.000904386,1.384378442,7.560752187,8.945130629,0.015878869,4673
FAM30A,1.70E-05,1.381636345,4.877609352,6.259245697,0.06208238,88
MAFB,0.000230693,1.377576607,7.221405381,8.598981988,0.035136252,1192
CST3,0.001219266,1.375964673,7.597317687,8.973282359,0.013623442,6300
GPR183,8.15E-05,1.374004413,6.570893303,7.944897716,0.050104813,421
OSM,2.73E-05,1.368812339,5.477510989,6.846323329,0.061055091,141
AC002454.1,9.68E-07,1.3469775,0.970950594,2.317928095,0.039799497,5
CD22,4.24E-05,1.346557562,5.974520883,7.321078444,0.054934324,219
LST1,0.000579829,1.344638746,7.531699155,8.8763379,0.019816029,2996
CUX2,9.68E-07,1.3429775,0.970950594,2.313928095,0.056,5
PARM1,1.94E-06,1.342964047,1.960964047,3.303928095,0.063843559,10
FCRL2,1.51E-05,1.338451154,4.772742771,6.111193925,0.058922387,78
CPVL,0.000258755,1.33490813,7.320790214,8.655698344,0.027571908,1337
ADGRG1,1.14E-05,1.331254111,4.419549508,5.750803619,0.069489689,59
ZBTB20-AS5,9.68E-07,1.3309775,0.970950594,2.301928095,0.087177979,5
TROAP,9.68E-07,1.3309775,0.970950594,2.301928095,0.087177979,5
TREML1,1.16E-06,1.323333333,1.251629167,2.574962501,0.056862407,6
MYCT1,1.16E-06,1.323333333,1.251629167,2.574962501,0.056862407,6
CEP55,1.16E-06,1.323333333,1.251629167,2.574962501,0.056862407,6
CES1,5.05E-05,1.322427921,6.185855979,7.5082839,0.058191209,261
DNM3,1.16E-06,1.32,1.251629167,2.571629167,0.065319726,6
FPR3,1.16E-06,1.313333333,1.251629167,2.564962501,0.079162281,6
C12orf75,4.28E-05,1.313174012,6.02513667,7.338310681,0.059158305,221
MARCKS,0.000151731,1.307974702,7.085681654,8.393656356,0.035025308,784
ADRB1,1.16E-06,1.303333333,1.251629167,2.554962501,0.09539392,6
IFITM3,5.11E-05,1.291305643,6.231571609,7.522877252,0.060426275,264
UGCG,3.56E-05,1.28501497,5.860838493,7.145853463,0.062692865,184
MNDA,0.000560669,1.276708284,7.595651485,8.872359769,0.021020837,2897
TNFRSF13C,3.35E-05,1.275052589,5.796510092,7.071562682,0.059432702,173
IER3,0.000147086,1.271870008,7.10001256,8.371882568,0.041542359,760
CYP1B1,8.19E-05,1.266366805,6.691996878,7.958363683,0.053093136,423
IL7R,0.000302688,1.255120627,7.456468499,8.711589125,0.033294466,1564
CASC15,2.13E-06,1.250909091,2.186704346,3.437613437,0.059083916,11
AIF1,0.000893548,1.246634324,7.693252194,8.939886518,0.014812928,4617
PLBD1,0.000146699,1.244091644,7.128878436,8.37297008,0.038722102,758
MAP1A,6.00E-06,1.243685702,3.63098502,4.874670722,0.071554979,31
CD7,0.000134506,1.237952082,7.080730235,8.318682317,0.040349048,695
ASAP2,1.55E-06,1.2375,1.75,2.9875,0.054486237,8
PPM1J,1.94E-06,1.23548875,2.046439345,3.281928095,0.084852814,10
CYB5D2,2.67E-05,1.230613666,5.56852745,6.799141116,0.067929951,138
RETN,4.55E-05,1.230312906,6.165248433,7.395561339,0.059455733,235
TNFRSF21,3.68E-06,1.22932177,2.970840013,4.200161783,0.069872155,19
BCL11A,7.30E-05,1.2277969,6.626031925,7.853828826,0.054655017,377
CD74,0.002521364,1.220276802,7.798673717,9.01895052,0.010384025,13028
MYL9,2.71E-06,1.219269643,2.556656707,3.775926351,0.062531625,14
MS4A6A,0.000271916,1.217751576,7.448532986,8.666284562,0.029278654,1405
HLA-DRB5,0.000200114,1.216830049,7.322448908,8.539278957,0.033864038,1034
CD24,1.14E-05,1.20989326,4.54153684,5.7514301,0.069403317,59
ADAMTS1,1.55E-06,1.206556391,1.75,2.956556391,0.110771395,8
IFI44L,1.37E-05,1.206514255,4.776508304,5.98302256,0.05736255,71
IRF8,0.000105089,1.204690031,6.93590069,8.140590721,0.053133433,543
KLHL23,7.74E-07,1.188721876,0.811278124,2,0,4
KIT,7.74E-07,1.188721876,0.811278124,2,0,4
TSPAN7,7.74E-07,1.188721876,0.811278124,2,0,4
AC138230.1,7.74E-07,1.188721876,0.811278124,2,0,4
GTSE1,7.74E-07,1.188721876,0.811278124,2,0,4
GUCY1B1,7.74E-07,1.183721876,0.811278124,1.995,0.049749372,4
ATP6V1G2,7.74E-07,1.183721876,0.811278124,1.995,0.049749372,4
FCER1G,0.000681047,1.180517936,7.725052492,8.905570428,0.017550104,3519
KIRREL3,7.74E-07,1.178721876,0.811278124,1.99,0.07,4
SPAG6,7.74E-07,1.178721876,0.811278124,1.99,0.07,4
CCDC168,7.74E-07,1.178721876,0.811278124,1.99,0.07,4
PLAUR,0.000229338,1.175451925,7.430960059,8.606411983,0.030399934,1185
DUSP6,0.000288753,1.175431629,7.514603387,8.690035016,0.032042873,1492
BLK,2.44E-05,1.174578954,5.533450516,6.708029469,0.058883634,126
PAX5,1.86E-05,1.171380723,5.203677512,6.375058234,0.061837149,96
ARL5B,7.10E-05,1.170850497,6.6581218,7.828972297,0.051330586,367
RHCE,7.74E-07,1.168721876,0.811278124,1.98,0.09797959,4
FCRL1,2.54E-05,1.167058253,5.592146238,6.759204491,0.06331603,131
LGALS1,0.000874968,1.164480612,7.771031632,8.935512244,0.016311212,4521
MATK,3.66E-05,1.157367606,6.010097782,7.167465388,0.054029602,189
HCAR3,3.35E-05,1.154931647,5.9185779,7.073509547,0.061060851,173
CEBPD,0.000409518,1.152338855,7.643994738,8.796333593,0.024201011,2116
PRSS23,5.03E-06,1.151878378,3.483074931,4.634953309,0.059823002,26
P2RX5,2.55E-05,1.146276102,5.616248421,6.762524523,0.06147968,132
SERPINA1,0.000273657,1.146030297,7.526252752,8.672283049,0.027587171,1414
CSF1R,0.000102573,1.143497756,6.977210117,8.120707873,0.053884325,530
KCNG1,5.81E-06,1.143400529,3.698068512,4.841469041,0.06391725,30
ZBTB32,1.35E-06,1.142857143,1.664497779,2.807354922,0,7
CD36,0.000216565,1.142119023,7.435296931,8.577415954,0.033158343,1119
CDCA3,1.94E-06,1.140964047,2.160964047,3.301928095,0.066332496,10
KLF4,0.000482094,1.140504571,7.693667111,8.834171682,0.023545142,2491
C5AR1,0.00016373,1.139588781,7.299653453,8.439242233,0.036347925,846
KNL1,1.94E-06,1.1369775,2.170950594,3.307928095,0.051029403,10
NRP2,1.35E-06,1.131428571,1.664497779,2.795926351,0.055988337,7
CLEC1B,1.35E-06,1.131428571,1.664497779,2.795926351,0.069045977,7
ARRDC4,2.34E-05,1.130939906,5.517714015,6.648653921,0.066119149,121
RALGPS2,4.64E-05,1.128864538,6.296094027,7.424958564,0.048713464,240
KIFC1,1.35E-06,1.128571429,1.664497779,2.793069208,0.062269985,7
CHRNA1,1.16E-06,1.12248125,1.459147917,2.581629167,0.033166248,6
HTR1F,1.16E-06,1.12248125,1.459147917,2.581629167,0.033166248,6
PLPP3,1.16E-06,1.115814584,1.459147917,2.574962501,0.056862407,6
CFD,0.00024695,1.114091743,7.523863465,8.637955207,0.032109496,1276
CD300E,0.000116895,1.112806309,7.108823141,8.22162945,0.046327346,604
SCARA5,1.16E-06,1.11248125,1.459147917,2.571629167,0.065319726,6
PTX3,1.59E-05,1.111076535,5.064707267,6.175783802,0.062823409,82
TAL1,2.52E-06,1.110375962,2.565448372,3.675824334,0.060451947,13
FCRLA,1.24E-05,1.109642231,4.743464441,5.853106672,0.074116184,64
RUBCNL,1.26E-05,1.108865583,4.767481176,5.876346759,0.06961036,65
TMEM255A,1.16E-06,1.105814584,1.459147917,2.564962501,0.092135166,6
FGL2,0.000335008,1.093065798,7.646660378,8.739726176,0.030015616,1731
PID1,3.48E-05,1.084914555,6.027401744,7.112316298,0.050891957,180
SPI1,0.000287592,1.080496074,7.613142475,8.693638549,0.032403313,1486
CMC1,5.65E-05,1.078181017,6.548902515,7.627083532,0.057574683,292
HLA-DMA,0.000185599,1.075633685,7.427771639,8.503405324,0.037448036,959
TYMP,0.000554669,1.073274088,7.791678224,8.864952312,0.020079062,2866
SLC12A3,2.13E-06,1.070909091,2.368522528,3.439431619,0.062430126,11
CTSS,0.00162801,1.070587135,7.922150734,8.992737869,0.011712631,8412
PSAP,0.000932448,1.069803504,7.87611823,8.945921735,0.015444785,4818
IRF7,5.92E-05,1.069550117,6.597110802,7.666660919,0.053574511,306
TMEM176B,0.000100831,1.069499134,7.049550633,8.119049766,0.046653711,521
IRF4,1.32E-05,1.063538715,4.866587106,5.930125821,0.064731243,68
MMP9,5.61E-06,1.057042319,3.736280133,4.793322452,0.07013635,29
GRN,0.000398874,1.05311539,7.737325871,8.79044126,0.025144414,2061
AC020656.1,0.000212501,1.050104179,7.514547977,8.564652156,0.036339766,1098
SERPINB2,8.13E-06,1.040384943,4.252453066,5.292838009,0.065187952,42
IGSF6,0.00014128,1.036686697,7.315567009,8.352253706,0.042102601,730
SGK1,0.000189083,1.034926439,7.473837518,8.508763957,0.036170032,977
TYROBP,0.000981799,1.033640734,7.920857936,8.954498669,0.017175667,5073
CD68,0.000256046,1.032819379,7.614363562,8.647182942,0.028347046,1323
TNNT1,6.39E-06,1.031657333,3.93060965,4.962266983,0.064063459,33
CSF3R,0.000204179,1.031464313,7.510580684,8.542044997,0.036061509,1055
CCR10,2.32E-06,1.030611552,2.522055209,3.552666761,0.07618943,12
HBEGF,3.99E-05,1.030233517,6.235214227,7.265447744,0.066153399,206
SYT5,2.13E-06,1.028149134,2.404009757,3.432158891,0.064922077,11
ALDH2,0.000123088,1.027666024,7.231803534,8.259469558,0.043945537,636
CSTA,0.000195663,1.025493157,7.503770453,8.52926361,0.034817986,1011
CFP,0.000191986,1.025323069,7.489464268,8.514787337,0.039554384,992
KLHL14,2.52E-06,1.024776277,2.653544297,3.678320574,0.060735394,13
MSR1,5.61E-06,1.022575078,3.771437029,4.794012107,0.064704459,29
ATF3,0.00016102,1.021089559,7.401793454,8.422883013,0.034856562,832
TNFAIP2,0.000208243,1.020583783,7.540414757,8.560998541,0.035608704,1076
TRAC,0.00020534,1.019566605,7.529091125,8.548657729,0.036347252,1061
S1PR5,5.81E-06,1.019074696,3.815061012,4.834135708,0.069959582,30
RGCC,0.000124636,1.013728342,7.253850614,8.267578956,0.04657946,644
ABHD5,0.000142248,1.012111469,7.327593431,8.3397049,0.043793617,735
BLNK,1.63E-05,1.011048094,5.188514858,6.199562952,0.065667685,84
RGS2,0.00044958,1.003107865,7.817942555,8.82105042,0.024450574,2323
CDKN1A,9.23E-05,1.00200511,7.049325797,8.051330907,0.047167217,477
CD72,1.95E-05,1.001701433,5.436199819,6.437901253,0.06294795,101
AL121992.3,3.87E-07,1,0,1,0,2
BMP8B,3.87E-07,1,0,1,0,2
FP700111.1,3.87E-07,1,0,1,0,2
PKDCC,3.87E-07,1,0,1,0,2
CKAP2L,3.87E-07,1,0,1,0,2
HJURP,3.87E-07,1,0,1,0,2
SUSD5,3.87E-07,1,0,1,0,2
SHOX2,3.87E-07,1,0,1,0,2
LINC02067,3.87E-07,1,0,1,0,2
TERC,3.87E-07,1,0,1,0,2
OSTN-AS1,3.87E-07,1,0,1,0,2
LDB2,3.87E-07,1,0,1,0,2
UCHL1,3.87E-07,1,0,1,0,2
KIAA1211,3.87E-07,1,0,1,0,2
FRAS1,3.87E-07,1,0,1,0,2
SPP1,3.87E-07,1,0,1,0,2
RXFP1,3.87E-07,1,0,1,0,2
AHRR,3.87E-07,1,0,1,0,2
AC008966.2,3.87E-07,1,0,1,0,2
MARVELD2,3.87E-07,1,0,1,0,2
COL21A1,3.87E-07,1,0,1,0,2
TRAPPC3L,3.87E-07,1,0,1,0,2
ESR1,3.87E-07,1,0,1,0,2
KCP,3.87E-07,1,0,1,0,2
TRBV4-2,3.87E-07,1,0,1,0,2
AC022784.3,3.87E-07,1,0,1,0,2
AC134682.1,3.87E-07,1,0,1,0,2
FOXH1,3.87E-07,1,0,1,0,2
TMEM246,3.87E-07,1,0,1,0,2
LCN8,3.87E-07,1,0,1,0,2
B4GALNT4,3.87E-07,1,0,1,0,2
KF459542.1,3.87E-07,1,0,1,0,2
CDCA5,3.87E-07,1,0,1,0,2
C10orf105,3.87E-07,1,0,1,0,2
STYK1,3.87E-07,1,0,1,0,2
C12orf77,3.87E-07,1,0,1,0,2
AC083809.1,3.87E-07,1,0,1,0,2
TRAV14DV4,3.87E-07,1,0,1,0,2
POLE2,3.87E-07,1,0,1,0,2
AC009093.5,3.87E-07,1,0,1,0,2
AC134312.5,3.87E-07,1,0,1,0,2
USP43,3.87E-07,1,0,1,0,2
LINC00511,3.87E-07,1,0,1,0,2
DSG2,3.87E-07,1,0,1,0,2
AL133396.2,3.87E-07,1,0,1,0,2
AL121772.2,3.87E-07,1,0,1,0,2
RIPOR3,3.87E-07,1,0,1,0,2
