,F,I,H,H-tilde,H-tilde_std,N
PTGDS,4.41E-05,5.637427722,1.736842575,7.374270297,0.058451192,228
IGLC2,0.000176697,4.33208806,4.136936644,8.469024704,0.036318051,913
IGLC3,5.63E-05,3.997623678,3.625026715,7.622650394,0.060102056,291
MEG3,6.19E-06,3.924106982,0.988699408,4.912806391,0.071606399,32
JCHAIN,5.23E-05,3.861757055,3.680995158,7.542752213,0.058872299,270
IGHA1,2.23E-05,3.564241214,3.034341264,6.598582478,0.06277785,115
C1QC,2.32E-06,3.552666761,0,3.552666761,0.079752021,12
GNLY,0.000457128,3.547050751,5.279843226,8.826893977,0.020429884,2362
CCL4,7.51E-05,3.469567491,4.409423445,7.878990936,0.049545817,388
CLEC10A,3.21E-05,3.440375634,3.577533587,7.01790922,0.068493532,166
FCER1A,3.89E-05,3.342434796,3.895127565,7.237562361,0.053644724,201
PCLAF,5.03E-06,3.270902467,1.375879645,4.646782112,0.055683978,26
IGKC,0.000705432,3.270511148,5.637353862,8.90786501,0.020071975,3645
IGHG4,6.19E-06,3.219244031,1.718951457,4.938195488,0.060022542,32
GZMB,6.58E-05,3.167031639,4.599539127,7.766570766,0.056343173,340
TYMS,6.19E-06,3.163967101,1.751614472,4.915581573,0.080179327,32
HDC,3.68E-06,3.13411901,1.058277043,4.192396053,0.076072996,19
FCGR3A,0.000132764,3.12709513,5.173783382,8.300878513,0.044562031,686
EREG,9.35E-05,3.109084135,4.952155438,8.061239573,0.045444156,483
CDKN1C,8.23E-05,3.075518669,4.883867775,7.959386444,0.055876502,425
C1QB,2.52E-06,3.051246072,0.619382195,3.670628266,0.07361725,13
IGHM,0.00036907,2.913402324,5.859435226,8.77283755,0.024086203,1907
AL157895.1,2.52E-06,2.904134447,0.773228349,3.677362795,0.059085737,13
LILRA4,1.28E-05,2.868931968,3.023524941,5.892456909,0.061290111,66
TPSAB1,3.68E-06,2.822014515,1.383807735,4.20582225,0.061378441,19
TCL1A,9.58E-05,2.786883932,5.28924288,8.076126812,0.048298441,495
G0S2,4.01E-05,2.773569183,4.490981071,7.264550254,0.061711264,207
FGFBP2,3.21E-05,2.714367725,4.301915074,7.016282799,0.061186451,166
IGHG1,1.12E-05,2.71318073,3.016328395,5.729509124,0.066997393,58
LYPD2,9.10E-06,2.680578932,2.768469686,5.449048618,0.060725859,47
NKG7,0.00032475,2.679986047,6.047503166,8.727489213,0.029253867,1678
ASPM,2.52E-06,2.664131583,0.995727452,3.659859035,0.086276603,13
GATA2,5.23E-06,2.645574691,2.044770344,4.690345035,0.071737661,27
MYB,6.97E-06,2.628369424,2.456890581,5.085260005,0.067349579,36
SERPINF1,1.35E-05,2.591507607,3.376229026,5.967736633,0.077788891,70
IFNG,1.57E-05,2.586934027,3.566341389,6.153275416,0.061676476,81
PPBP,2.01E-05,2.539840891,3.941504773,6.481345664,0.061199209,104
DNASE1L3,8.90E-06,2.522473672,2.912220026,5.434693698,0.061280795,46
CENPF,5.61E-06,2.512406543,2.280226254,4.792632797,0.064337607,29
STON2,3.68E-06,2.483458755,1.716047706,4.199506461,0.060322311,19
CXCL3,7.55E-06,2.480205249,2.708389566,5.188594815,0.071936261,39
C1QA,1.12E-05,2.459706953,3.261142592,5.720849545,0.064915528,58
PRSS57,6.77E-06,2.427132748,2.623497637,5.050630385,0.066920916,35
PLD4,3.87E-05,2.421522949,4.816988398,7.238511346,0.065155447,200
CPA3,1.94E-06,2.418637196,0.881290899,3.299928095,0.062577951,10
SPON2,3.29E-05,2.40032227,4.641474979,7.041797249,0.063394041,170
PARD3,1.74E-06,2.392387162,0.764204507,3.156591668,0.052774854,9
